CG
Line A: Structure Position, Actual Response - Global X (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, Actual Response - Global Y (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line C: Structure Position, Actual Response - Global Z (15MW-Semi-sub - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]

*Time (s),Line A (m),Line B (m),Line C (m)
24.4,-0.31316813826561,-2.81383935362101E-02,-0.571383714675903
24.5,-0.315699845552444,-2.84671392291784E-02,-0.594421207904816
24.6,-0.317958563566208,-2.88818366825581E-02,-0.617549479007721
24.7,-0.319900810718536,-2.93810572475195E-02,-0.640752494335175
24.8,-0.321487814188004,-2.99631077796221E-02,-0.664014995098114
24.9,-0.322686195373535,-3.06259393692017E-02,-0.68732213973999
25,-0.323468267917633,-3.13672386109829E-02,-0.710660099983215
25.1,-0.323812365531921,-3.21840941905975E-02,-0.734014928340912
25.2,-0.323703318834305,-3.30731458961964E-02,-0.757373511791229
25.3,-0.323132634162903,-3.40305268764496E-02,-0.780722975730896
25.4,-0.322098553180695,-3.50517146289349E-02,-0.804049968719482
25.5,-0.320605754852295,-3.61316949129105E-02,-0.827341556549072
25.6,-0.318665713071823,-3.72651182115078E-02,-0.850584805011749
25.7,-0.316296428442001,-3.84459868073463E-02,-0.873766481876373
25.8,-0.313522040843964,-3.96675318479538E-02,-0.896873235702515
25.9,-0.310372561216354,-4.09223586320877E-02,-0.919891119003296
26,-0.306883603334427,-0.042202465236187,-0.942806303501129
26.1,-0.303096294403076,-4.34991233050823E-02,-0.965604484081268
26.2,-0.299056559801102,-4.48038652539253E-02,-0.988270699977875
26.3,-0.294814348220825,-4.61077615618706E-02,-1.01078963279724
26.4,-0.290423035621643,-4.74014841020107E-02,-1.03314530849457
26.5,-0.285938799381256,-4.86752428114414E-02,-1.05532109737396
26.6,-0.281420350074768,-0.049919106066227,-1.07730007171631
26.7,-0.276927649974823,-5.11233769357204E-02,-1.09906542301178
26.8,-0.272520989179611,-5.22786341607571E-02,-1.12059891223907
26.9,-0.268260151147842,-5.33758774399757E-02,-1.1418821811676
27,-0.264203578233719,-5.44065609574318E-02,-1.16289675235748
27.1,-0.260408103466034,-5.53624108433723E-02,-1.18362331390381
27.2,-0.25692754983902,-5.62360733747482E-02,-1.20404195785522
27.3,-0.253811806440353,-5.70205189287663E-02,-1.22413301467896
27.4,-0.251106083393097,-5.77097237110138E-02,-1.24387645721436
27.5,-0.24885031580925,-5.82984611392021E-02,-1.2632520198822
27.6,-0.247078895568848,-5.87831474840641E-02,-1.28223955631256
27.7,-0.245819583535194,-5.91611340641975E-02,-1.30081880092621
27.8,-0.245092615485191,-5.94308637082577E-02,-1.31896984577179
27.9,-0.2449109852314,-5.95913641154766E-02,-1.33667325973511
28,-0.245280176401138,-5.96426017582417E-02,-1.35390937328339
28.1,-0.246198043227196,-5.95856830477715E-02,-1.37065935134888
28.2,-0.247653916478157,-5.94239085912704E-02,-1.3869047164917
28.3,-0.249628767371178,-5.91599605977535E-02,-1.40262734889984
28.4,-0.252095431089401,-5.87981604039669E-02,-1.4178102016449
28.5,-0.255018949508667,-5.83444274961948E-02,-1.4324369430542
28.6,-0.258356243371964,-5.78040666878223E-02,-1.44649159908295
28.7,-0.2620570063591,-0.057183749973774,-1.45995938777924
28.8,-0.266063660383224,-5.64906895160675E-02,-1.47282660007477
28.9,-0.270312607288361,-5.57326264679432E-02,-1.48508012294769
29,-0.274734735488892,-5.49170412123203E-02,-1.49670791625977
