Rotation
Line A: Structure Position, Actual Response - Global RX (15MW-Semi-sub) [°]
Line B: Structure Position, Actual Response - Global RY (15MW-Semi-sub) [°]
Line C: Structure Position, Actual Response - Global RZ (15MW-Semi-sub) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
17.8,-3.63874584436417E-02,1.08364829793572E-02,0.459865540266037
17.9,-3.53262275457382E-02,7.53485411405563E-03,0.463163018226624
18,-0.034222599118948,4.00741677731276E-03,0.465416043996811
18.1,-3.30969505012035E-02,2.64598056674004E-04,0.46658331155777
18.2,-3.19568961858749E-02,-3.67916584946215E-03,0.466662019491196
18.3,-3.08157186955214E-02,-7.81104434281588E-03,0.465655744075775
18.4,-2.96920798718929E-02,-1.21127720922232E-02,0.463564991950989
18.5,-0.02859259955585,-1.65704023092985E-02,0.460412383079529
18.6,-2.75349635630846E-02,-2.11668014526367E-02,0.456226378679276
18.7,-0.026525791734457,-2.58869640529156E-02,0.451056778430939
18.8,-2.55921874195337E-02,-3.07165775448084E-02,0.444951832294464
18.9,-0.024730509147048,-3.56385968625546E-02,0.437973946332932
19,-2.39644218236208E-02,-4.06340472400188E-02,0.43019050359726
19.1,-2.33073960989714E-02,-4.56911139190197E-02,0.421674102544785
19.2,-2.27471925318241E-02,-5.07815144956112E-02,0.412503331899643
19.3,-2.23229620605707E-02,-5.58943375945091E-02,0.40276050567627
19.4,-2.20277179032564E-02,-6.10196962952614E-02,0.39253643155098
19.5,-2.18663848936558E-02,-6.61337450146675E-02,0.381907343864441
19.6,-2.18541976064444E-02,-7.12228417396545E-02,0.37096381187439
19.7,-2.20029819756746E-02,-7.62693732976913E-02,0.359786808490753
19.8,-2.23194994032383E-02,-8.12616497278214E-02,0.348453164100647
19.9,-2.28002425283194E-02,-0.086184024810791,0.337033361196518
20,-2.34655998647213E-02,-9.10181105136871E-02,0.3255954682827
20.1,-2.43155211210251E-02,-0.095748171210289,0.314205706119537
20.2,-0.025349996984005,-0.100360669195652,0.302915453910828
20.3,-2.65775267034769E-02,-0.104841835796833,0.291774362325668
20.4,-2.80049368739128E-02,-0.109177768230438,0.280826896429062
20.5,-2.96236909925938E-02,-0.113354235887527,0.270114243030548
20.6,-3.14406454563141E-02,-0.117359325289726,0.259671032428741
20.7,-3.34506966173649E-02,-0.121178589761257,0.249534025788307
20.8,-3.56547310948372E-02,-0.124802656471729,0.239723637700081
20.9,-3.80434170365334E-02,-0.128222316503525,0.230267271399498
21,-0.040615051984787,-0.131419628858566,0.221193969249725
21.1,-4.33654598891735E-02,-0.134388715028763,0.212520852684975
21.2,-0.046282734721899,-0.13712540268898,0.204271748661995
21.3,-4.93609681725502E-02,-0.139616012573242,0.196472182869911
21.4,-5.25912493467331E-02,-0.141852125525475,0.189144447445869
21.5,-5.59582337737083E-02,-0.143823489546776,0.18231064081192
21.6,-5.94449378550053E-02,-0.145528495311737,0.175999775528908
21.7,-6.30381777882576E-02,-0.146955236792564,0.170243382453918
21.8,-6.67192786931992E-02,-0.148112297058105,0.165071681141853
21.9,-7.04780369997025E-02,-0.148989424109459,0.160517752170563
22,-7.42896646261215E-02,-0.149572968482971,0.156621009111404
22.1,-7.81360864639282E-02,-0.149868130683899,0.153416067361832
22.2,-8.19932892918587E-02,-0.149886786937714,0.15094693005085
22.3,-8.58429223299026E-02,-0.14960515499115,0.149245753884315
22.4,-8.96635130047798E-02,-0.149037927389145,0.148343235254288
22.5,-9.34294015169144E-02,-0.148187845945358,0.148278027772903
22.6,-0.097117118537426,-0.147053048014641,0.14907693862915
22.7,-0.100707441568375,-0.145640090107918,0.15077468752861
22.8,-0.10416804254055,-0.143952488899231,0.153371289372444
22.9,-0.107486203312874,-0.142007291316986,0.156891241669655
23,-0.110629662871361,-0.139790803194046,0.161333128809929
23.1,-0.113581895828247,-0.137320190668106,0.166696846485138
23.2,-0.116317205131054,-0.134612590074539,0.172978609800339
23.3,-0.118813306093216,-0.131671473383904,0.180169001221657
23.4,-0.12105904519558,-0.128510534763336,0.188243106007576
23.5,-0.123028732836246,-0.125140994787216,0.197174593806267
23.6,-0.124705262482166,-0.121580116450787,0.206930041313171
23.7,-0.126066356897354,-0.117842465639114,0.217471927404404
23.8,-0.127117097377777,-0.11395163834095,0.228743895888329
23.9,-0.127828374505043,-0.109910815954208,0.240698143839836
24,-0.128188267350197,-0.105744287371635,0.253268510103226
24.1,-0.128198400139809,-0.101474158465862,0.266386985778809
24.2,-0.127862200140953,-9.71161127090454E-02,0.279977649450302
24.3,-0.127159282565117,-9.26927849650383E-02,0.293957084417343
24.4,-0.126092985272408,-8.82205814123154E-02,0.308230876922607
24.5,-0.124668590724468,-8.37266519665718E-02,0.322706937789917
24.6,-0.12289472669363,-7.92252495884895E-02,0.337279111146927
24.7,-0.120779946446419,-7.47407823801041E-02,0.35184833407402
24.8,-0.118322715163231,-7.02896937727928E-02,0.366301208734512
24.9,-0.115543685853481,-6.58941939473152E-02,0.380531877279282
25,-0.112449944019318,-6.15817531943321E-02,0.394420921802521
25.1,-0.109058707952499,-5.73694333434105E-02,0.407865911722183
25.2,-0.105395779013634,-5.32665587961674E-02,0.420741498470306
25.3,-0.101479269564152,-0.04929443821311,0.432942569255829
25.4,-9.73325371742249E-02,-0.045476857572794,0.44435578584671
25.5,-9.29771736264229E-02,-4.18239422142506E-02,0.454878479242325
25.6,-8.84423553943634E-02,-3.83474119007587E-02,0.464412540197372
25.7,-8.37539210915565E-02,-3.50572876632214E-02,0.472856551408768
25.8,-7.89369717240334E-02,-3.19772474467754E-02,0.480125963687897
25.9,-7.40282610058784E-02,-0.029103497043252,0.486137211322784
26,-6.90532997250557E-02,-2.64562238007784E-02,0.490815967321396
26.1,-6.40484541654587E-02,-2.40350179374218E-02,0.494093716144562
26.2,-5.90428896248341E-02,-2.18429174274206E-02,0.495918810367584
26.3,-5.40626682341099E-02,-1.98842752724886E-02,0.49625962972641
26.4,-4.91464473307133E-02,-1.81594807654619E-02,0.495069563388824
26.5,-4.43224422633648E-02,-1.66660230606794E-02,0.49233540892601
26.6,-3.96146774291992E-02,-1.54121136292815E-02,0.488060146570206
26.7,-3.50566618144512E-02,-1.43918003886938E-02,0.482237607240677
26.8,-3.06749939918518E-02,-1.35987838730216E-02,0.47488608956337
26.9,-2.64938399195671E-02,-1.30238281562924E-02,0.466048300266266
27,-2.25414521992207E-02,-1.26649392768741E-02,0.455776393413544
27.1,-1.88295636326075E-02,-1.25117525458336E-02,0.444118797779083
27.2,-1.53837660327554E-02,-1.25546902418137E-02,0.431160688400269
27.3,-1.22218010947108E-02,-1.27842510119081E-02,0.416990756988525
27.4,-9.3484865501523E-03,-1.31842466071248E-02,0.401704996824265
27.5,-6.78812945261598E-03,-1.37571664527059E-02,0.385426372289658
27.6,-4.53835353255272E-03,-1.44818089902401E-02,0.368275344371796
27.7,-2.61136423796415E-03,-1.53479874134064E-02,0.350388288497925
27.8,-1.00909755565226E-03,-1.63386315107346E-02,0.331911712884903
27.9,2.75000144029036E-04,-1.74436140805483E-02,0.312995970249176
28,1.23555038589984E-03,-0.018647151067853,0.293794274330139
28.1,1.88164622522891E-03,-1.99383981525898E-02,0.274468034505844
28.2,2.21661757677794E-03,-2.13035997003317E-02,0.255169153213501
28.3,2.25509470328689E-03,-2.27290131151676E-02,0.236062169075012
28.4,2.00870260596275E-03,-2.41981018334627E-02,0.217305704951286
28.5,1.49074080400169E-03,-2.56987884640694E-02,0.199043706059456
28.6,7.14508641976863E-04,-2.72158160805702E-02,0.181425556540489
28.7,-2.91396398097277E-04,-2.87479292601347E-02,0.164586201310158
28.8,-1.51837524026632E-03,-3.02688200026751E-02,0.148657113313675
28.9,-2.94210598804057E-03,-0.031770333647728,0.133761212229729
29,-4.53825853765011E-03,-0.033240232616663,0.120000116527081
29.1,-6.28209440037608E-03,-3.46666537225246E-02,0.107471138238907
29.2,-8.15316196531057E-03,-3.60419899225235E-02,9.62613821029663E-02
29.3,-1.01233245804906E-02,-3.73569093644619E-02,8.64399299025536E-02
29.4,-1.21682770550251E-02,-3.85960675776005E-02,7.80597776174545E-02
29.5,-0.014260733500123,-3.97475175559521E-02,7.11652636528015E-02
29.6,-1.63789801299572E-02,-0.040803574025631,6.57840073108673E-02
29.7,-1.84960439801216E-02,-4.17558774352074E-02,6.19171410799027E-02
29.8,-2.05856934189796E-02,-0.042590320110321,5.95590434968472E-02
29.9,-2.26273741573095E-02,-4.33002486824989E-02,5.86924850940704E-02
30,-2.45950687676668E-02,-4.38805110752583E-02,5.92757239937782E-02
30.1,-2.64669843018055E-02,-4.43157106637955E-02,6.12574741244316E-02
30.2,-2.82205138355494E-02,-4.45972792804241E-02,6.45612329244614E-02
30.3,-0.029840275645256,-0.044726949185133,6.91122561693192E-02
30.4,-3.13112325966358E-02,-4.46765050292015E-02,7.48238489031792E-02
30.5,-3.26086841523647E-02,-4.44554090499878E-02,8.15918669104576E-02
